Date,Location,State,Shape,Time,Summary,Upload Date
9/21/2014,Euless,TX,Chevron,30-60 seconds,"List the date and time of the sighting; Sept 21, 2014, around 1 am.",9/25/2014
9/21/2014,Hillsboro,TX,Other,15+ minutes,Flashing star split into to separate stationary objects.,9/25/2014
9/20/2014,Monaville,TX,Changing,20 minutes,At an airshow could see craft in distant sky drifting very slowly.,9/25/2014
,,,,,,
,,,,,"Photos taken, showing a craft in the shape of the number 3, shini",
9/19/2014,Dallas,TX,Other,10 seconds,((HOAX??)) Dallas UFO near airport.,9/25/2014
9/15/2014,Amarillo (near),TX,Disk,unknown,Only seen on the photo I have.,9/25/2014
9/14/2014,Katy,TX,Changing,I witnessed it for over t,"UFO near Detention Pond in Katy, Texas, Emanates Threatening Gunfire Sounds.",9/18/2014
9/13/2014,Haltom,TX,Circle,,Me and my friend went out on the balcony to smoke a cigarette and i looked up seen 4 lights but they were not moving at all stayed in 1,9/18/2014
9/10/2014,Kemah,TX,Cigar,5 minutes,2 stationary cigar-shaped objects clearly visible in morning sunlight.,9/18/2014
9/6/2014,Austin,TX,Triangle,?,HUGE Triangle Craft hovering near I-35 North Austin,9/10/2014
9/6/2014,Lago Vista,TX,Diamond,2 minutes,The craft had 4 peach colored lights on each tip with a canister looking cockpit jutting from the bottom with white lights circling it.,9/10/2014
9/5/2014,Cedar Hill,TX,Circle,between 5 to 10 minutes,green see through bubble,9/10/2014
9/4/2014,Burleson,TX,Light,20 seconds,"Looking to the northeast, I noticed a light moving across the sky. The light moving across the sky was purely white, appeared to be at",9/5/2014
9/2/2014,Fort Worth,TX,Other,100-120 seconds,?Star? after sundown before stars out; instantly became brighter; white cloud like explosion; an object shot out.,9/5/2014
8/30/2014,Eustace,TX,Light,25 minutes,Yellow/Orange Blinking Light Drops Down From The Sky.,9/5/2014
8/28/2014,Houston/Meyerland,TX,Triangle,3 seconds,I saw a black triangular object for 3 seconds pass behind a small cloud never to re-appear.,8/31/2014
8/26/2014,Lago Vista,TX,Triangle,5 minutes,Silent double pyramid with bright lights.,8/29/2014
8/24/2014,Atascocita,TX,Circle,2 minutes,"Orange globe hovered around the sky over Atascocitia, TX.",8/29/2014
8/24/2014,New Braunfels,TX,Light,10 seconds,White light dims to dark red; vanishes.,8/29/2014
8/24/2014,Tyler,TX,,,I looked at photographos of pics I took and got this one that looks like an et standing infront of a window.,10/3/2014
8/21/2014,Port Neches,TX,Light,3 minutes,It started as a small purple light. Suddenly it changed to colorful green and blue all around as of the light expanded.,8/22/2014
8/21/2014,Morton,TX,Sphere,1 hour,UFO shot down over TX and NM border area.,8/22/2014
8/20/2014,Menard,TX,Light,3-4 minutes,Large red light observed which disappeared; followed by small light moving erratically against stars.,8/22/2014
8/19/2014,Round Rock,TX,Light,1 minute,Dark orange light slowly hovered across the sky headed SE direction. Strange feeling at time of sighting.,8/22/2014
8/17/2014,Borger,TX,Light,2 minutes,"Today Saturday August 17, 2014 I was talking to a cousin that had just got back from a 9 hour trip while I looked up at the stars I see",8/22/2014
8/15/2014,Houston,TX,Circle,4 minutes,Looked up at stars approximately 11:30 p.m. while in backyard with dogs. Saw yellow-orange ember-like crafts move swiftly in a more or,8/22/2014
8/15/2014,Austin,TX,Circle,l minute,Shape shifting circle of red lights appears in night sky over Austin.,8/22/2014
,,,,,,
,,,,,I was riding a Capitol Metro Bus southbound on Mueller Boulev,
8/15/2014,Austin,TX,Circle,<1 minute,https://www.youtube.com/watch?v=z7MRcY-0V1Y http://www.keyetv.com/news/features/top-stories/stories/ufo-lights-up-houston-airspace-201,8/22/2014
8/14/2014,Pearland,TX,Cone,30 seconds,"Helicopter sized, shaped like a missile at first then wings appeared, vanished after going behind some trees.",8/15/2014
8/13/2014,Comfort,TX,Light,5-10 seconds,"Red, high-altitude light disappeared after 5 seconds and never reappeared.",8/15/2014
8/13/2014,Cypress,TX,Triangle,10 seconds,Silver triangle in the sky disappeared.,8/15/2014
8/13/2014,McKinney,TX,Rectangle,20 seconds,Rectangle of red and green lights loudly flew over the sky.,8/15/2014
8/10/2014,Katy/Fulshear,TX,Fireball,3-5 minutes,"6-7 lights in night sky moving from the west, some grouped, some slowly dropping to ground or moving northward and then disappearing.",8/15/2014
8/9/2014,San Angelo,TX,Light,3 minutes,Orange light in the sky.,8/15/2014
8/9/2014,Allen,TX,Light,45 minutes,Burst of bright flashing of lights that lit up the sky.,8/15/2014
8/6/2014,Allen,TX,Rectangle,3 minutes,"Red and Blue lights in sky at Allen, Texas.",8/8/2014
8/5/2014,Amarillo,TX,Triangle,1.5 hours,Triangle shaped craft with three lights or more.,8/8/2014
8/5/2014,Port Neches,TX,Light,,"Any reports of sightings in Port Neches, TX.",8/8/2014
,,,,,,
,,,,,"Will follow-up, with reporting if so.",
8/4/2014,Cypress,TX,Fireball,~2 minutes,HUGE fireball slowly descending from the sky.,8/8/2014
8/3/2014,Cleburne,TX,Light,15 seconds,Intensely brightly lit object sighted flying at low altitude and high speed.,8/8/2014
8/2/2014,Von Ormy,TX,Light,10-15 seconds,"Lighted object on south-to-north trajectory, traveling over south central (San Antonio) Texas",8/8/2014
8/2/2014,Fort Worth,TX,Circle,40 seconds,A blue meteor that suddenly stopped.,8/8/2014
8/1/2014,Austin,TX,Unknown,30 seconds,"Bright red and white UFO moving at medium speed, then hovering and changing directions before disappearing.",8/8/2014
7/31/2014,Ricardo,TX,Other,3 minutes,"Ufo sighting Ricardo, TX.",8/1/2014
7/30/2014,College Station,TX,Unknown,~3 minutes,Hovering object seen with red and white light making very erratic movements,8/1/2014
7/30/2014,Houston,TX,Other,5 minutes,Four aircraft circle like vultures then shoot off at great speeds.,8/1/2014
7/27/2014,Austin,TX,Unknown,3 minutes,"Red and green lights flashing, moving slowly in circle.",8/1/2014
7/25/2014,Corpus Christi,TX,Unknown,5 seconds,Object moving at speeds 5 to 6 times faster than satellite.,7/26/2014
7/23/2014,Cedar Creek,TX,Unknown,5 seconds,Bright blue light breaks into two bright blue lights,8/8/2014
7/21/2014,Fort Worth,TX,Unknown,~5 seconds,Blue & Red Orbs Merge & Vanish.,7/26/2014
7/19/2014,New Braunfels,TX,Unknown,1 minute,Aircraft with red and blue lights.,7/26/2014
7/19/2014,Forney,TX,Fireball,1:58,Two round balls of fire moving slowly.,7/20/2014
7/19/2014,Wichita Falls,TX,Sphere,Just a few seconds,Large green light moving incredibly fast.,7/20/2014
7/19/2014,Sugar Land,TX,Light,2 minutes,"Very bright cluster of 3 lights moving slowly across the sky, flickering and changing colors.",7/20/2014
7/19/2014,Sugar Land,TX,Cylinder,,Not sure.,7/20/2014
7/18/2014,Arlington,TX,Triangle,5 minutes,"Triangle shape in the sky, dead still, lights on each corner and one in the center, hovering above what may be a train station.",7/20/2014
