tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-life-stage,animal-reproductive-condition,animal-sex,attachment-type,deploy-off-person,deploy-on-person,deployment-end-type,deployment-id,duty-cycle,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
454,V[0AF],Falco naumanni,2013-06-20 10:51:22.000,2013-06-25 17:37:04.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130625_454,1 sec,none,EBD,Technosmart,1.8,GiPSy-2,tag-retrieval
445,B[6.M],Falco naumanni,2013-06-20 12:21:34.000,2013-07-09 07:43:57.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130709_455,1 min,none,EBD,Technosmart,1.8,GiPSy-2,tag-retrieval
08,V[0A7],Falco naumanni,2013-06-21 08:54:37.000,2013-06-24 15:50:28.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130624_08,3 min,none,EBD,Technosmart,1.8,GiPSy-4,tag-retrieval
07,V[0A7],Falco naumanni,2013-06-24 15:37:53.000,2013-06-26 17:14:09.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130624_07,1 min,none,EBD,Technosmart,1.8,GiPSy-4,tag-retrieval
451,B[6.V],Falco naumanni,2013-06-25 04:30:33.000,2013-06-26 09:56:17.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130626_451,1 sec,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
29,V[0A7],Falco naumanni,2013-06-26 16:26:06.000,2013-07-01 07:28:47.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130701_29,1 min,none,EBD,Technosmart,1.8,GiPSy-4,tag-retrieval
458,B[J.A],Falco naumanni,2013-07-01 09:27:04.000,2013-07-03 13:59:54.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130703_458,1 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
442,B[F.L],Falco naumanni,2013-07-02 10:17:28.000,2013-07-03 13:58:48.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130703_442,1 sec,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
453,B[F.L],Falco naumanni,2014-03-24 20:26:00.000,2014-04-06 19:28:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140406_453,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
448,B[6.U],Falco naumanni,2014-03-26 07:02:00.000,2014-03-31 19:00:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140331_448,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
458,B[6.U],Falco naumanni,2014-03-31 19:01:00.000,2014-04-08 08:13:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140408_458,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
456,B[H.K],Falco naumanni,2014-03-31 19:13:00.000,2014-04-08 06:58:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140408_456,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
05,B[H.J],Falco naumanni,2014-03-31 19:31:00.000,2014-04-16 09:18:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140416_05,3 min,none,Silo,Technosmart,1.8,GiPSy-4,tag-retrieval
450,B[D.A],Falco naumanni,2014-03-31 19:37:00.000,2014-04-06 19:33:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140406_450,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
445,V[0A7],Falco naumanni,2014-04-02 17:46:00.000,2014-04-15 08:59:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140415_445,3 min,none,EBD,Technosmart,1.8,GiPSy-2,tag-retrieval
454,B[F.K],Falco naumanni,2014-04-06 19:25:00.000,2014-04-21 19:12:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140421_454,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
442,B[F.L],Falco naumanni,2014-04-06 19:29:00.000,2014-04-21 19:02:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140421_442,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
455,B[D.A],Falco naumanni,2014-04-06 19:34:00.000,2014-04-16 07:19:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140416_455,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
448,B[H.K],Falco naumanni,2014-04-08 06:59:00.000,2014-04-14 20:55:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140414_448,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
11,B[6.U],Falco naumanni,2014-04-08 08:14:00.000,2014-04-14 20:40:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140414_11,3 min,none,Silo,Technosmart,1.8,GiPSy-4,tag-retrieval
443,B[6.U],Falco naumanni,2014-04-14 20:41:00.000,2014-05-20 10:04:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140520_443,1 sec,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
10,B[H.K],Falco naumanni,2014-04-14 20:56:00.000,2014-04-23 06:47:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140423_10,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
06,V[0A7],Falco naumanni,2014-04-15 09:00:00.000,2014-04-23 19:20:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140423_06,3 min,none,EBD,Technosmart,1.8,GiPSy-4,tag-retrieval
456,B[H.M],Falco naumanni,2014-04-15 18:01:00.000,2014-04-22 16:37:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140422_456,3 min,none,EBD,Technosmart,1.8,GiPSy-2,tag-retrieval
445,B[D.A],Falco naumanni,2014-04-16 07:21:00.000,2014-04-21 19:18:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140421_445,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
450,B[H.J],Falco naumanni,2014-04-16 09:19:00.000,2014-04-23 08:18:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140423_450,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
05,B[6.F],Falco naumanni,2014-04-16 18:16:59.000,2014-04-28 19:19:29.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140428_05,3 min,none,EBD,Technosmart,1.8,GiPSy-4,tag-retrieval
448,B[F.L],Falco naumanni,2014-04-21 19:03:00.000,2014-04-27 19:42:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140427_448,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
11,B[F.K],Falco naumanni,2014-04-21 19:14:00.000,2014-04-27 19:50:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140427_11,3 min,none,Silo,Technosmart,1.8,GiPSy-4,tag-retrieval
455,B[D.A],Falco naumanni,2014-04-21 19:20:00.000,2014-04-27 20:11:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140427_455,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
454,B[H.M],Falco naumanni,2014-04-22 16:38:00.000,2014-04-28 18:48:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140428_454,3 min,none,EBD,Technosmart,1.8,GiPSy-2,tag-retrieval
442,B[H.K],Falco naumanni,2014-04-23 06:48:00.000,2014-04-27 19:37:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140427_442,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
451,B[H.Y],Falco naumanni,2014-04-23 08:03:00.000,2014-04-27 19:55:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140427_451,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
458,B[H.J],Falco naumanni,2014-04-23 08:19:00.000,2014-04-27 20:16:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140427_458,1 sec,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
445,V[0A7],Falco naumanni,2014-04-23 19:21:00.000,2014-04-28 19:03:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140428_445,3 min,none,EBD,Technosmart,1.8,GiPSy-2,tag-retrieval
450,B[F.K],Falco naumanni,2014-04-27 19:51:00.000,2014-05-05 20:14:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140505_450,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
19,B[H.Y],Falco naumanni,2014-04-27 19:57:00.000,2014-05-05 20:01:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140505_19,3 min,none,Silo,Technosmart,1.8,GiPSy-4,tag-retrieval
07,B[D.A],Falco naumanni,2014-04-27 20:12:00.000,2014-05-13 11:27:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140513_07,3 min,none,Silo,Technosmart,1.8,GiPSy-4,tag-retrieval
20,B[H.J],Falco naumanni,2014-04-27 20:17:00.000,2014-05-20 09:21:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140520_20,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
451,V[0A7],Falco naumanni,2014-04-28 19:04:00.000,2014-05-13 15:16:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140513_451,3 min,none,EBD,Technosmart,1.8,GiPSy-2,tag-retrieval
442,B[6.F],Falco naumanni,2014-04-28 19:19:31.000,2014-06-30 09:02:37.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20140630_442,3 min,none,EBD,Technosmart,1.8,GiPSy-2,tag-retrieval
