FID,Key,SurveyID,Country,Ecoregion,Realm,SiteCode,Site,SiteLat,SiteLong,SurveyDate,Depth,Phylum,Class,Family,Taxon,Block,Total,Diver,geom
M1_DATA.48224,48224,912343985,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,LHI14,Algal Hole North,-31.5624,159.0684,2014-02-17T00:00:00,7,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,1,1,CTH,POINT (159.06843 -31.56235)
M1_DATA.48341,48341,912344975,Australia,Manning-Hawkesbury,Temperate Australasia,PS7,Little Beach West,-32.7133,152.1571,2015-02-20T00:00:00,5,Chordata,Elasmobranchii,Orectolobidae,Orectolobus maculatus,1,1,MS,POINT (152.15713 -32.713325)
M1_DATA.48631,48631,2001916,Australia,Manning-Hawkesbury,Temperate Australasia,SYD30,Chowder Bay ,-33.8417,151.254,2010-02-24T00:00:00,5,Chordata,Elasmobranchii,Urolophidae,Trygonoptera spp.,2,1,AEF,POINT (151.253968 -33.841655)
M1_DATA.48893,48893,7000545,Australia,Bassian,Temperate Australasia,TAS1,Southport (SE),-43.461,146.9955,2008-12-09T00:00:00,5,Chordata,Elasmobranchii,Urolophidae,Urolophus cruciatus,2,1,DJ,POINT (146.9955 -43.46099)
M1_DATA.48906,48906,912343987,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,LHI21,Big Slope,-31.5954,159.0788,2014-02-18T00:00:00,10.5,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,1,12,CTH,POINT (159.07875 -31.5954)
M1_DATA.64304,64304,912344197,Australia,Exmouth to Broome,Central Indo-Pacific,NWS65,Mermaid south M7,-17.1337,119.6339,2013-09-25T00:00:00,10,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,1,GJE,POINT (119.6339 -17.13371)
M1_DATA.64880,64880,2002773,Australia,Manning-Hawkesbury,Temperate Australasia,PS20,Halifax Park,-32.7098,152.1592,2011-04-04T00:00:00,11,Chordata,Elasmobranchii,Orectolobidae,Orectolobus halei,2,1,TRD,POINT (152.15925 -32.70976)
M1_DATA.80166,80166,506003362,Costa Rica,Cocos Islands,Tropical Eastern Pacific,ETP117,Punta Ulloa (d) Cocos,5.5502,-87.0331,2006-09-08T00:00:00,14,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,2,2,GJE,POINT (-87.0331 5.550215)
M1_DATA.80227,80227,7000546,Australia,Bassian,Temperate Australasia,TAS2,Southport (SW),-43.4541,146.9739,2008-12-09T00:00:00,5,Chordata,Elasmobranchii,Scyliorhinidae,Cephaloscyllium laticeps,1,1,DJ,POINT (146.973942 -43.454064)
M1_DATA.80241,80241,2001170,Australia,Cape Howe,Temperate Australasia,JBMP-S3,The Docks Inner Tubes,-35.0799,150.793,2009-03-14T00:00:00,10.3,Chordata,Elasmobranchii,Orectolobidae,Orectolobus maculatus,1,1,AJG,POINT (150.79299 -35.07993)
M1_DATA.80703,80703,912344873,Australia,Bassian,Temperate Australasia,PPB41,Portsea Bay Reef,-38.3174,144.7102,2015-03-24T00:00:00,3,Chordata,Elasmobranchii,Urolophidae,Trygonoptera mucosa,2,6,AJW,POINT (144.71023 -38.31745)
M1_DATA.80839,80839,912345994,Australia,Bonaparte Coast,Central Indo-Pacific,OS3,Evans Shoal,-9.8863,129.5475,2015-10-09T00:00:00,16.5,Chordata,Elasmobranchii,Myliobatidae,Aetobatus ocellatus,1,1,JPS,POINT (129.54748 -9.88632)
M1_DATA.95064,95064,7002375,Australia,Bassian,Temperate Australasia,TAS82,Inner Bligh,-43.0861,147.323,2009-03-09T00:00:00,6,Chordata,Elasmobranchii,Urolophidae,Urolophus cruciatus,1,1,RSS,POINT (147.32297 -43.08609)
M1_DATA.95246,95246,2001425,Australia,Cape Howe,Temperate Australasia,NSW5,Chip mill E of jetty,-37.1004,149.9285,2008-12-09T00:00:00,9,Chordata,Elasmobranchii,Heterodontidae,Heterodontus portusjacksoni,1,4,RSS,POINT (149.9285 -37.10036)
M1_DATA.95358,95358,3002546,Australia,Cape Howe,Temperate Australasia,CHMP-S4,Gabo NE Gulch,-37.5532,149.912,2011-02-03T00:00:00,7,Chordata,Elasmobranchii,Heterodontidae,Heterodontus portusjacksoni,1,1,ATC,POINT (149.912 -37.5532)
M1_DATA.95619,95619,506003362,Costa Rica,Cocos Islands,Tropical Eastern Pacific,ETP117,Punta Ulloa (d) Cocos,5.5502,-87.0331,2006-09-08T00:00:00,14,Chordata,Elasmobranchii,Dasyatidae,Taeniura meyeni,2,1,GJE,POINT (-87.0331 5.550215)
M1_DATA.57621,57621,507003207,Panama,Nicoya,Tropical Eastern Pacific,ETP83,Granito de Oro,7.5931,-81.71,2011-05-31T00:00:00,10,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,1,ESO,POINT (-81.71005 7.59307)
M1_DATA.73030,73030,7000428,Australia,Bassian,Temperate Australasia,DE9,Bellerive Oval,-42.8818,147.3702,2009-03-14T00:00:00,3.5,Chordata,Elasmobranchii,Urolophidae,Urolophus cruciatus,1,1,EBF,POINT (147.37019 -42.88181)
M1_DATA.73158,73158,912344967,Australia,Exmouth to Broome,Central Indo-Pacific,NMP-BF4,Bundegi RZ,-21.8363,114.1778,2015-07-30T00:00:00,2.1,Chordata,Elasmobranchii,Hemiscylliidae,Hemiscyllium trispeculare,1,1,TPC,POINT (114.17777 -21.83633)
M1_DATA.73304,73304,912343524,Australia,Bassian,Temperate Australasia,PPH-S4,Sth Channel Fort,-38.3069,144.801,2013-02-10T00:00:00,5.1,Chordata,Elasmobranchii,Urolophidae,Urolophus paucimaculatus,2,3,ESO,POINT (144.8010236 -38.30691797)
M1_DATA.73435,73435,912340586,Australia,Ningaloo,Central Indo-Pacific,NMP11,Maud RZ2,-23.2084,113.7633,2012-07-29T00:00:00,4.5,Chordata,Elasmobranchii,Dasyatidae,Taeniura lymma,1,1,GER,POINT (113.76328 -23.20838)
M1_DATA.73489,73489,912340549,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,LHI49,Erscotts Hole,-31.5467,159.0613,2012-02-29T00:00:00,3,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,1,1,WCB,POINT (159.06128 -31.54666)
M1_DATA.73554,73554,2001407,Australia,Manning-Hawkesbury,Temperate Australasia,NSW33,South One Mile,-32.1951,152.54,2009-08-27T00:00:00,4.2,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,1,1,SJF,POINT (152.54003 -32.19513)
M1_DATA.73562,73562,2001934,Australia,Manning-Hawkesbury,Temperate Australasia,PS13,Pipeline,-32.718,152.1413,2009-05-08T00:00:00,8,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,2,1,TRD,POINT (152.14133 -32.71802)
M1_DATA.73570,73570,3000105,Australia,Bassian,Temperate Australasia,PPH-S1,Point Franklin,-38.3173,144.7173,2010-01-21T00:00:00,4,Chordata,Elasmobranchii,Urolophidae,Trygonoptera spp.,1,1,JSS,POINT (144.717252 -38.317301)
M1_DATA.73844,73844,912342424,New Zealand,Kermadec Island,Temperate Australasia,KER14,Smith Bluff,-29.2923,-177.9609,2013-01-01T00:00:00,7.5,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,1,3,RSS,POINT (-177.96092 -29.29233)
M1_DATA.73976,73976,2002796,Australia,Manning-Hawkesbury,Temperate Australasia,PS21,Inner Light Rocks,-32.7095,152.1613,2011-04-02T00:00:00,6,Chordata,Elasmobranchii,Orectolobidae,Orectolobus halei,2,1,KHVT,POINT (152.16129 -32.70947)
M1_DATA.93045,93045,2002445,Australia,Cape Howe,Temperate Australasia,BMP-S17,Pretty Point,-35.8045,150.2335,2010-11-22T00:00:00,5.2,Chordata,Elasmobranchii,Myliobatidae,Myliobatis australis,2,1,AJG,POINT (150.23347 -35.80453)
M1_DATA.93177,93177,2002700,Australia,Cape Howe,Temperate Australasia,JBMP-S16,Bowens Island SW,-35.1211,150.7642,2011-04-17T00:00:00,3.3,Chordata,Elasmobranchii,Orectolobidae,Orectolobus maculatus,2,1,AJG,POINT (150.7641602 -35.1211319)
M1_DATA.93209,93209,2000858,Australia,Cape Howe,Temperate Australasia,BMP-S10,Shark Gutter NE Tollgates,-35.7501,150.262,2010-01-26T00:00:00,10.1,Chordata,Elasmobranchii,Odontaspididae,Carcharias taurus,1,1,AJG,POINT (150.26204 -35.75012)
M1_DATA.93479,93479,912342510,Australia,Manning-Hawkesbury,Temperate Australasia,PS16,Seahorse gardens,-32.7152,152.1504,2013-01-13T00:00:00,9.7,Chordata,Elasmobranchii,Orectolobidae,Orectolobus ornatus,1,1,NAD,POINT (152.15036 -32.71515)
M1_DATA.93771,93771,912345994,Australia,Bonaparte Coast,Central Indo-Pacific,OS3,Evans Shoal,-9.8863,129.5475,2015-10-09T00:00:00,16.5,Chordata,Elasmobranchii,Ginglymostomatidae,Nebrius ferrugineus,1,1,JPS,POINT (129.54748 -9.88632)
M1_DATA.93793,93793,912345060,Australia,Cape Howe,Temperate Australasia,BR11,Ridge Park,-37.8183,148.7838,2015-05-19T00:00:00,16,Chordata,Elasmobranchii,Scyliorhinidae,Cephaloscyllium laticeps,2,2,DTL,POINT (148.7838 -37.81828333)
M1_DATA.109162,109162,912345995,Australia,Bonaparte Coast,Central Indo-Pacific,OS4,Blackwood Shoal,-9.8845,129.4162,2015-10-09T00:00:00,17.6,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,1,JPS,POINT (129.41618 -9.88453)
M1_DATA.109295,109295,912342496,Australia,Manning-Hawkesbury,Temperate Australasia,PS20,Halifax Park,-32.7098,152.1592,2012-09-29T00:00:00,8.5,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,2,2,NAD,POINT (152.15925 -32.70976)
M1_DATA.109502,109502,593003404,Ecuador,Western Galapagos Islands,Tropical Eastern Pacific,ETP210,Punta Espinosa Sur (2),-0.2739,-91.4311,2008-04-19T00:00:00,15,Chordata,Elasmobranchii,Heterodontidae,Heterodontus quoyi,1,1,RP,POINT (-91.4311 -0.2739)
M1_DATA.109611,109611,2001295,Australia,Cape Howe,Temperate Australasia,JBMP-S26,Outer Tubes,-35.0877,150.799,2009-03-16T00:00:00,10.2,Chordata,Elasmobranchii,Dasyatidae,Dasyatis brevicaudata,1,1,MLD,POINT (150.79903 -35.08773)
M1_DATA.77073,77073,912341925,Australia,Bassian,Temperate Australasia,PPH-S3,Pt Nepean Inner West,-38.3041,144.6558,2012-02-07T00:00:00,2,Chordata,Elasmobranchii,Dasyatidae,Dasyatis brevicaudata,2,1,ATC,POINT (144.655847 -38.30412315)
M1_DATA.77280,77280,8000668,Australia,Bonaparte Coast,Central Indo-Pacific,NT9,East Point Coral Gardens,-12.4134,130.8127,2008-06-15T00:00:00,5,Chordata,Elasmobranchii,Hemiscylliidae,Hemiscyllium ocellatum,2,3,TAS,POINT (130.8127 -12.4134)
M1_DATA.77328,77328,2001753,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,LHI46,Mutton Bird Island,-31.5422,159.1065,2010-02-13T00:00:00,8.1,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,1,2,CTH,POINT (159.10646 -31.542183)
M1_DATA.77538,77538,2001865,Australia,Cape Howe,Temperate Australasia,JBMP35,Dolphin Cove,-35.1311,150.7658,2008-02-21T00:00:00,5,Chordata,Elasmobranchii,Orectolobidae,Orectolobus maculatus,1,4,MLD,POINT (150.76585 -35.1311)
M1_DATA.77568,77568,2001967,Australia,Manning-Hawkesbury,Temperate Australasia,PS28,Blanch Reserve,-32.7885,152.0834,2010-03-21T00:00:00,6,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,1,1,TRD,POINT (152.08338 -32.78852)
M1_DATA.77609,77609,912344328,Australia,Exmouth to Broome,Central Indo-Pacific,NWS133,North West Island NW,-20.366,115.5087,2013-10-22T00:00:00,5,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus amblyrhynchos,1,1,GJE,POINT (115.50866 -20.36597)
M1_DATA.77614,77614,912340279,Australia,Cape Howe,Temperate Australasia,BR11,Ridge Park,-37.8183,148.7838,2011-08-24T00:00:00,15,Chordata,Elasmobranchii,Scyliorhinidae,Cephaloscyllium laticeps,1,2,AJW,POINT (148.7838 -37.81828333)
M1_DATA.77652,77652,2002392,Australia,Manning-Hawkesbury,Temperate Australasia,PS7,Little Beach West,-32.7133,152.1571,2010-09-26T00:00:00,10.5,Chordata,Elasmobranchii,Hypnidae,Hypnos monopterygius,2,1,NAD,POINT (152.15713 -32.713325)
M1_DATA.77690,77690,2002381,Australia,Manning-Hawkesbury,Temperate Australasia,PS20,Halifax Park,-32.7098,152.1592,2010-10-24T00:00:00,14.6,Chordata,Elasmobranchii,Urolophidae,Urolophus paucimaculatus,1,1,AS,POINT (152.15925 -32.70976)
M1_DATA.77782,77782,912340352,Australia,Manning-Hawkesbury,Temperate Australasia,PS15,Kingsley Point,-32.7914,152.1078,2012-08-23T00:00:00,8,Chordata,Elasmobranchii,Orectolobidae,Orectolobus halei,2,1,TRD,POINT (152.10784 -32.79135)
M1_DATA.94076,94076,2001361,Australia,Manning-Hawkesbury,Temperate Australasia,PS20,Halifax Park,-32.7098,152.1592,2009-05-09T00:00:00,14.6,Chordata,Elasmobranchii,Dasyatidae,Neotrygon kuhlii,2,1,AS,POINT (152.15925 -32.70976)
M1_DATA.94243,94243,7002372,Australia,Bassian,Temperate Australasia,TAS79,Primrose Sands,-42.8981,147.669,2010-01-30T00:00:00,5,Chordata,Elasmobranchii,Urolophidae,Urolophus cruciatus,1,2,RSS,POINT (147.668991 -42.898093)
M1_DATA.94288,94288,2001343,Australia,Manning-Hawkesbury,Temperate Australasia,PS17,Fly Point Nelson Bay,-32.7145,152.1518,2010-02-27T00:00:00,17,Chordata,Elasmobranchii,Dasyatidae,Neotrygon kuhlii,1,1,TRD,POINT (152.15183 -32.714463)
M1_DATA.94437,94437,6002339,Australia,Leeuwin,Temperate Australasia,WA35,Elizabeth Reef  Cottesloe,-32.0093,115.7495,2008-10-08T00:00:00,6,Chordata,Elasmobranchii,Urolophidae,Trygonoptera ovalis,2,1,TRD,POINT (115.74953 -32.00932)
M1_DATA.94556,94556,912340047,Australia,Bassian,Temperate Australasia,MIR-S15,Return Point,-42.629,148.0243,2012-01-15T00:00:00,5,Chordata,Elasmobranchii,Scyliorhinidae,Cephaloscyllium laticeps,2,1,GJE,POINT (148.024307 -42.62899)
M1_DATA.94812,94812,2002480,Australia,Cape Howe,Temperate Australasia,BMP-S25,Bingie Bingie Point,-36.0129,150.166,2010-12-20T00:00:00,5.3,Chordata,Elasmobranchii,Heterodontidae,Heterodontus portusjacksoni,2,1,AJG,POINT (150.16603 -36.0129)
M1_DATA.110364,110364,912345855,Australia,Gulf of Papua,Central Indo-Pacific,CS205,Boot Reef NW Point,-9.986,144.6792,2015-11-30T00:00:00,8,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus amblyrhynchos,1,1,AJG,POINT (144.67923 -9.98595)
M1_DATA.110409,110409,2001481,Australia,Cape Howe,Temperate Australasia,JBMP-S13,Montagu Point,-35.0271,150.7757,2010-03-29T00:00:00,5.4,Chordata,Elasmobranchii,Orectolobidae,Orectolobus halei,1,1,MS,POINT (150.7756805 -35.0270844)
M1_DATA.110473,110473,912342429,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,EMR4,Wreck 1,-29.4475,159.0539,2013-01-15T00:00:00,14,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,1,1,RSS,POINT (159.05391 -29.44751)
M1_DATA.110624,110624,506003816,Costa Rica,Cocos Islands,Tropical Eastern Pacific,ETP22,Punta Gissler,5.5434,-87.0718,2011-04-26T00:00:00,6,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,1,ESO,POINT (-87.07175 5.54335)
M1_DATA.85255,85255,2001689,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,LHI3,Erscotts Blind Passage,-31.5497,159.063,2009-01-31T00:00:00,8,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,1,1,RSS,POINT (159.06295 -31.54974)
M1_DATA.85265,85265,2001088,Australia,Cape Howe,Temperate Australasia,BMP-S26,Mullimburra Point,-35.9916,150.1592,2010-01-28T00:00:00,5.2,Chordata,Elasmobranchii,Rhinobatidae,Trygonorrhina fasciata,1,1,AJG,POINT (150.15918 -35.99157)
M1_DATA.85297,85297,507003563,Panama,Nicoya,Tropical Eastern Pacific,ETP65,Islote Cavada NE,8.0003,-82.0261,2007-03-23T00:00:00,8,Chordata,Elasmobranchii,Urolophidae,Urobatis halleri,2,1,AC,POINT (-82.0261 8.00028)
M1_DATA.85300,85300,912343235,Australia,Coral Sea,Central Indo-Pacific,CS93,Lihou Gardens,-17.1254,152.0778,2013-06-14T00:00:00,3.5,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,1,GER,POINT (152.0778 -17.12542)
M1_DATA.85308,85308,912342457,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,EMR28,Elizabeth Hole,-29.9305,159.0621,2013-01-18T00:00:00,8,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,1,1,RSS,POINT (159.06213 -29.9305)
M1_DATA.85569,85569,912340452,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,LHI21,Big Slope,-31.5954,159.0788,2012-02-20T00:00:00,11.5,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,2,3,IVS,POINT (159.07875 -31.5954)
M1_DATA.85625,85625,593003483,Ecuador,Northern Galapagos Islands,Tropical Eastern Pacific,ETP159,Darwin Fondeadero Sur,1.6807,-91.9995,2008-05-12T00:00:00,15,Chordata,Elasmobranchii,Sphyrnidae,Sphyrna lewini,1,1,RP,POINT (-91.9995 1.68074)
M1_DATA.85651,85651,912343132,Australia,Coral Sea,Central Indo-Pacific,CS41,Wreck North,-22.1977,155.2944,2013-05-21T00:00:00,7,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus amblyrhynchos,1,4,SRG,POINT (155.29443 -22.1977)
M1_DATA.85722,85722,506003352,Costa Rica,Cocos Islands,Tropical Eastern Pacific,ETP24,Bahía Wafer,5.546,-87.0623,2006-09-06T00:00:00,13,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,3,GJE,POINT (-87.06231 5.54595)
M1_DATA.102070,102070,7000463,Australia,Bassian,Temperate Australasia,DE6,Gypsy Shoal,-42.9496,147.4169,2009-11-15T00:00:00,10.1,Chordata,Elasmobranchii,Urolophidae,Urolophus cruciatus,2,3,AEF,POINT (147.41687 -42.94961)
M1_DATA.102111,102111,912342969,Australia,Manning-Hawkesbury,Temperate Australasia,PS7,Little Beach West,-32.7133,152.1571,2013-01-19T00:00:00,12,Chordata,Elasmobranchii,Orectolobidae,Orectolobus ornatus,1,1,TRD,POINT (152.15713 -32.713325)
M1_DATA.102220,102220,3000014,Australia,Bassian,Temperate Australasia,PPB22,Quarantine Station,-38.3138,144.7179,2009-02-11T00:00:00,3,Chordata,Elasmobranchii,Urolophidae,Trygonoptera mucosa,1,2,AJW,POINT (144.71788 -38.31375)
M1_DATA.102310,102310,2001059,Australia,Manning-Hawkesbury,Temperate Australasia,NSW13,Terrigal Haven,-33.4465,151.4497,2009-08-25T00:00:00,11,Chordata,Elasmobranchii,Heterodontidae,Heterodontus portusjacksoni,2,1,STN,POINT (151.44971 -33.4465)
M1_DATA.102338,102338,912343560,Australia,Bassian,Temperate Australasia,PPH-S2,Pt Nepean offshore,-38.3021,144.6587,2013-02-12T00:00:00,4,Chordata,Elasmobranchii,Dasyatidae,Dasyatis brevicaudata,1,1,AJW,POINT (144.6586914 -38.3020805)
M1_DATA.102449,102449,2002642,Australia,Manning-Hawkesbury,Temperate Australasia,PS3,Cabbage Tree Island West,-32.6888,152.2222,2011-01-25T00:00:00,8,Chordata,Elasmobranchii,Orectolobidae,Orectolobus maculatus,2,1,NAD,POINT (152.22218 -32.68884)
M1_DATA.102450,102450,7000483,Australia,Bassian,Temperate Australasia,DE37,Crayfish Point,-42.9531,147.3545,2010-02-10T00:00:00,4,Chordata,Elasmobranchii,Scyliorhinidae,Cephaloscyllium laticeps,1,1,NSB,POINT (147.35453 -42.95313)
M1_DATA.102633,102633,676003243,Tonga,Tonga Islands,Central Indo-Pacific,TONGA5,Fonuaika West,-20.1081,-174.7281,2009-09-04T00:00:00,8,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,1,NAW,POINT (-174.72811 -20.1081)
M1_DATA.102658,102658,912340182,Australia,Cape Howe,Temperate Australasia,BMP-S10,Shark Gutter NE Tollgates,-35.7501,150.262,2012-02-13T00:00:00,10.1,Chordata,Elasmobranchii,Orectolobidae,Orectolobus halei,1,2,AJG,POINT (150.26204 -35.75012)
M1_DATA.102918,102918,912342438,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,EMR9,Blue Holes W,-29.4428,159.1123,2013-01-16T00:00:00,6,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,1,2,RSS,POINT (159.11231 -29.44278)
M1_DATA.103046,103046,593003408,Ecuador,Western Galapagos Islands,Tropical Eastern Pacific,ETP146,Cabo Douglas Piedra Blanca,-0.3018,-91.6524,2008-04-20T00:00:00,15,Chordata,Elasmobranchii,Heterodontidae,Heterodontus quoyi,1,1,SEB,POINT (-91.6524 -0.3018)
M1_DATA.51923,51923,912342973,Australia,Manning-Hawkesbury,Temperate Australasia,PS42,Fingal Island West,-32.7416,152.1915,2013-03-08T00:00:00,5.2,Chordata,Elasmobranchii,Rhinobatidae,Aptychotrema rostrata,1,1,NAD,POINT (152.19148 -32.7416)
M1_DATA.67996,67996,7000647,Australia,Bassian,Temperate Australasia,TAS29,Fortescue Kelp Forest,-43.1377,147.9691,2009-01-06T00:00:00,10,Chordata,Elasmobranchii,Urolophidae,Urolophus cruciatus,1,1,ESO,POINT (147.96908 -43.13768)
M1_DATA.68020,68020,912344445,Australia,Manning-Hawkesbury,Temperate Australasia,PS3,Cabbage Tree Island West,-32.6888,152.2222,2014-05-18T00:00:00,5.6,Chordata,Elasmobranchii,Dasyatidae,Neotrygon kuhlii,1,1,NAD,POINT (152.22218 -32.68884)
M1_DATA.68060,68060,4000758,Australia,Central and Southern Great Barrier Reef,Central Indo-Pacific,QLD7,Monkey Point,-23.1957,150.9375,2010-07-14T00:00:00,4,Chordata,Elasmobranchii,Hemiscylliidae,Hemiscyllium ocellatum,1,1,AJG,POINT (150.937484 -23.1957)
M1_DATA.68209,68209,912342230,Australia,Coral Sea,Central Indo-Pacific,CS1,Long Reef West,-19.297,152.2352,2012-09-09T00:00:00,10,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus amblyrhynchos,1,1,ATC,POINT (152.23517 -19.29696)
M1_DATA.68220,68220,506002965,Costa Rica,Cocos Islands,Tropical Eastern Pacific,ETP16,Manuelita Afuera,5.5621,-87.0466,2011-04-23T00:00:00,14,Chordata,Elasmobranchii,Sphyrnidae,Sphyrna lewini,2,2,AGGM,POINT (-87.04663 5.56213)
M1_DATA.68386,68386,506003334,Costa Rica,Cocos Islands,Tropical Eastern Pacific,ETP19,Atrevido,5.5284,-87.03,2006-09-03T00:00:00,6,Chordata,Elasmobranchii,Dasyatidae,Taeniura meyeni,1,1,GJE,POINT (-87.02996 5.52842)
M1_DATA.68387,68387,912342482,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,EMR19,Lagoon blue hole Elizabeth Reef,-29.9333,159.0561,2013-01-17T00:00:00,6,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,2,2,GJE,POINT (159.0561 -29.93329)
M1_DATA.68825,68825,593003472,Ecuador,Northern Galapagos Islands,Tropical Eastern Pacific,ETP243,Wolf Colonia de Lobos Norte,1.3837,-91.8117,2008-05-11T00:00:00,15,Chordata,Elasmobranchii,Sphyrnidae,Sphyrna lewini,1,1,RP,POINT (-91.8117 1.38374)
M1_DATA.68892,68892,6002304,Australia,Leeuwin,Temperate Australasia,RI16,Jackson Rocks,-32.0257,115.584,2009-08-30T00:00:00,10,Chordata,Elasmobranchii,Urolophidae,Urolophus gigas,2,1,PBD,POINT (115.58404 -32.02567)
M1_DATA.86049,86049,507003870,Panama,Nicoya,Tropical Eastern Pacific,ETP81,Islote derecha Racheria,7.6251,-81.7117,2011-05-30T00:00:00,7,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,2,AB,POINT (-81.71169 7.62511)
M1_DATA.86204,86204,912342143,French Polynesia,Tuamotus,Eastern Indo-Pacific,FP51,Passe Tumakohua,-16.515,-145.462,2012-06-21T00:00:00,3,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus melanopterus,2,2,MLD,POINT (-145.462033 -16.515033)
M1_DATA.86385,86385,912342152,French Polynesia,Tuamotus,Eastern Indo-Pacific,FP58,Toau Bommie 3,-15.9469,-145.8811,2012-07-04T00:00:00,4.5,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus amblyrhynchos,1,1,MLD,POINT (-145.88106 -15.94692)
M1_DATA.100280,100280,912344393,Australia,Cape Howe,Temperate Australasia,BR13,Seal Gully,-37.8196,148.786,2014-05-12T00:00:00,14,Chordata,Elasmobranchii,Scyliorhinidae,Cephaloscyllium laticeps,2,1,DTL,POINT (148.78596 -37.81963)
M1_DATA.100345,100345,4000761,Australia,Central and Southern Great Barrier Reef,Central Indo-Pacific,QLD8,Shelving South,-23.1883,150.9345,2010-07-10T00:00:00,1.5,Chordata,Elasmobranchii,Dasyatidae,Neotrygon kuhlii,1,7,AJG,POINT (150.93451 -23.18833)
M1_DATA.100767,100767,912340143,Australia,Cape Howe,Temperate Australasia,BMP-S24,Bingie Bingie Point Nth,-36.0115,150.1652,2011-10-22T00:00:00,10.3,Chordata,Elasmobranchii,Urolophidae,Urolophus kapalensis,1,1,AJG,POINT (150.16517 -36.01152)
M1_DATA.100782,100782,2001965,Australia,Manning-Hawkesbury,Temperate Australasia,PS16,Seahorse gardens,-32.7152,152.1504,2010-05-02T00:00:00,10,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,2,1,TRD,POINT (152.15036 -32.71515)
M1_DATA.100978,100978,2001030,Australia,Manning-Hawkesbury,Temperate Australasia,SYD27,North Bondi,-33.8941,151.2828,2010-04-25T00:00:00,7,Chordata,Elasmobranchii,Heterodontidae,Heterodontus galeatus,2,1,MGM,POINT (151.28281 -33.89414)
M1_DATA.115297,115297,2002646,Australia,Manning-Hawkesbury,Temperate Australasia,PS28,Blanch Reserve,-32.7885,152.0834,2011-02-06T00:00:00,3,Chordata,Elasmobranchii,Brachaeluridae,Brachaelurus waddi,2,2,TRD,POINT (152.08338 -32.78852)
M1_DATA.115345,115345,912343992,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,LHI7,Erscotts Passage South,-31.5519,159.0673,2014-02-27T00:00:00,8,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,2,3,CTH,POINT (159.06731 -31.55193)
M1_DATA.71057,71057,689003040,French Polynesia,Tuamotus,Eastern Indo-Pacific,FP16,Toau Bommie,-15.9408,-145.9148,2009-06-15T00:00:00,2.5,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus amblyrhynchos,1,3,NAW,POINT (-145.91479 -15.9408)
M1_DATA.71361,71361,912343044,Australia,Cape Howe,Temperate Australasia,BMP-S25,Bingie Bingie Point,-36.0129,150.166,2013-03-23T00:00:00,5,Chordata,Elasmobranchii,Myliobatidae,Myliobatis australis,2,1,AJG,POINT (150.16603 -36.0129)
