FID,Key,SurveyID,Country,Ecoregion,Realm,SiteCode,Site,SiteLat,SiteLong,SurveyDate,Depth,Phylum,Class,Family,Taxon,Block,Total,Diver,geom
M1_DATA.180758,180758,912343285,Australia,Coral Sea,Central Indo-Pacific,CS119,Abington Reef SW point,-18.0682,149.618,2013-06-19T00:00:00,6,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus amblyrhynchos,1,1,GJE,POINT (149.61798 -18.06817)
M1_DATA.180852,180852,912343134,Australia,Coral Sea,Central Indo-Pacific,CS42,Hilton Pool,-22.186,155.176,2013-05-22T00:00:00,2.6,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,2,1,SRG,POINT (155.17601 -22.18602)
M1_DATA.180894,180894,912345790,Australia,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,NT49,Bonner Rocks NE,-12.062,136.6135,2015-11-05T00:00:00,8,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,2,1,GJE,POINT (136.61349 -12.06204)
M1_DATA.180998,180998,507003549,Panama,Nicoya,Tropical Eastern Pacific,ETP13,Uva NE,7.8267,-81.7582,2007-03-22T00:00:00,12,Chordata,Elasmobranchii,Mobulidae,Mobula thurstoni,1,1,AC,POINT (-81.75825 7.82668)
M1_DATA.167357,167357,593003510,Ecuador,Guayaquil,Tropical Eastern Pacific,ETP163,Faro Isla de la Plata,-1.2588,-81.0599,2008-09-12T00:00:00,9,Chordata,Elasmobranchii,Urolophidae,Urobatis halleri,2,1,GJE,POINT (-81.0599217 -1.25875)
M1_DATA.167411,167411,912342435,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,EMR8,Back Reef 1,-29.4456,159.0937,2013-01-15T00:00:00,5,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,1,1,RSS,POINT (159.09369 -29.44563)
M1_DATA.167862,167862,912342492,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,EMR31,NE Inlet Elizabeth Reef,-29.9337,159.0971,2013-01-18T00:00:00,13,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,1,1,GJE,POINT (159.09714 -29.93369)
M1_DATA.168095,168095,912342979,Australia,Cape Howe,Temperate Australasia,VIC10,Bastion Point Mallacoota,-37.5733,149.7673,2013-01-08T00:00:00,8,Chordata,Elasmobranchii,Heterodontidae,Heterodontus portusjacksoni,2,7,AJW,POINT (149.7673 -37.57328)
M1_DATA.178440,178440,506002953,Costa Rica,Cocos Islands,Tropical Eastern Pacific,ETP118,Isla Paraja (s) Cocos,5.5541,-87.0541,2008-07-30T00:00:00,8,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,2,1,NAW,POINT (-87.054083 5.554117)
M1_DATA.178503,178503,593003429,Ecuador,Eastern Galapagos Islands,Tropical Eastern Pacific,ETP138,Bahía Sullivan,-0.2812,-90.5686,2008-04-22T00:00:00,15,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,1,SEB,POINT (-90.56861 -0.28115)
M1_DATA.178737,178737,912342690,Australia,Bassian,Temperate Australasia,PD-S25,"Whalers Point, Whalers Beach, 5m",-43.2911,145.9228,2013-02-25T00:00:00,5,Chordata,Elasmobranchii,Scyliorhinidae,Cephaloscyllium laticeps,2,1,IVS,POINT (145.922775269 -43.291130066)
